## SLURM PROLOG ###############################################################
##    Job ID : 8525512
##  Job Name : runs_craftax_ppo
##  Nodelist : gpu2104
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sun Feb 23 02:54:35 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2467596
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=26880 - 26880, avg episodic return=0.10
timesteps=33024 - 33024, avg episodic return=1.43
timesteps=38144 - 48384, avg episodic return=1.43
timesteps=54528 - 59648, avg episodic return=1.10
timesteps=49408 - 64768, avg episodic return=1.24
timesteps=49408 - 64768, avg episodic return=1.27
timesteps=65792 - 81152, avg episodic return=1.93
timesteps=65792 - 76032, avg episodic return=1.10
timesteps=65792 - 81152, avg episodic return=1.96
timesteps=82176 - 97536, avg episodic return=1.67
timesteps=82176 - 97536, avg episodic return=0.35
timesteps=82176 - 97536, avg episodic return=1.96
timesteps=103680 - 113920, avg episodic return=1.30
timesteps=98560 - 103680, avg episodic return=2.60
timesteps=108800 - 108800, avg episodic return=1.10
timesteps=120064 - 125184, avg episodic return=1.50
timesteps=125184 - 125184, avg episodic return=1.10
timesteps=114944 - 130304, avg episodic return=1.50
timesteps=131328 - 146688, avg episodic return=1.35
timesteps=141568 - 146688, avg episodic return=2.50
timesteps=131328 - 146688, avg episodic return=1.10
timesteps=147712 - 152832, avg episodic return=1.85
timesteps=157952 - 163072, avg episodic return=1.10
timesteps=147712 - 163072, avg episodic return=2.10
timesteps=174336 - 179456, avg episodic return=3.10
timesteps=164096 - 179456, avg episodic return=1.35
timesteps=164096 - 174336, avg episodic return=0.93
timesteps=180480 - 190720, avg episodic return=3.77
timesteps=180480 - 195840, avg episodic return=2.35
timesteps=185600 - 185600, avg episodic return=1.10
timesteps=196864 - 212224, avg episodic return=2.77
timesteps=201984 - 212224, avg episodic return=3.85
timesteps=213248 - 223488, avg episodic return=2.60
timesteps=228608 - 228608, avg episodic return=4.10
timesteps=213248 - 228608, avg episodic return=3.77
timesteps=234752 - 239872, avg episodic return=2.77
timesteps=234752 - 239872, avg episodic return=3.43
timesteps=229632 - 244992, avg episodic return=2.50
timesteps=246016 - 261376, avg episodic return=3.10
timesteps=246016 - 261376, avg episodic return=2.10
timesteps=246016 - 261376, avg episodic return=1.90
timesteps=267520 - 267520, avg episodic return=3.77
timesteps=277760 - 277760, avg episodic return=0.10
timesteps=267520 - 277760, avg episodic return=3.10
timesteps=278784 - 294144, avg episodic return=2.35
timesteps=278784 - 294144, avg episodic return=2.99
timesteps=278784 - 289024, avg episodic return=3.10
timesteps=295168 - 310528, avg episodic return=3.10
timesteps=300288 - 310528, avg episodic return=3.10
timesteps=305408 - 310528, avg episodic return=3.10
timesteps=316672 - 321792, avg episodic return=1.60
timesteps=311552 - 326912, avg episodic return=3.85
timesteps=316672 - 326912, avg episodic return=3.10
timesteps=327936 - 338176, avg episodic return=3.10
timesteps=338176 - 343296, avg episodic return=1.60
timesteps=327936 - 333056, avg episodic return=2.90
timesteps=344320 - 354560, avg episodic return=2.77
timesteps=344320 - 359680, avg episodic return=3.43
timesteps=354560 - 359680, avg episodic return=3.10
timesteps=365824 - 370944, avg episodic return=2.10
timesteps=370944 - 376064, avg episodic return=2.77
timesteps=360704 - 370944, avg episodic return=3.10
timesteps=377088 - 392448, avg episodic return=2.60
timesteps=377088 - 392448, avg episodic return=3.35
timesteps=377088 - 392448, avg episodic return=3.35
timesteps=403712 - 403712, avg episodic return=2.10
timesteps=393472 - 408832, avg episodic return=3.90
timesteps=393472 - 403712, avg episodic return=3.60
timesteps=420096 - 420096, avg episodic return=2.43
timesteps=409856 - 425216, avg episodic return=2.81
timesteps=409856 - 425216, avg episodic return=2.43
timesteps=441600 - 441600, avg episodic return=3.10
timesteps=436480 - 436480, avg episodic return=3.10
timesteps=426240 - 441600, avg episodic return=4.10
timesteps=442624 - 457984, avg episodic return=4.10
timesteps=442624 - 457984, avg episodic return=3.50
timesteps=442624 - 457984, avg episodic return=3.27
timesteps=459008 - 474368, avg episodic return=2.60
timesteps=464128 - 464128, avg episodic return=3.10
timesteps=459008 - 474368, avg episodic return=3.27
timesteps=480512 - 490752, avg episodic return=3.70
timesteps=475392 - 490752, avg episodic return=3.70
timesteps=480512 - 490752, avg episodic return=3.85
timesteps=502016 - 507136, avg episodic return=3.10
timesteps=496896 - 507136, avg episodic return=3.10
timesteps=513280 - 518400, avg episodic return=2.77
timesteps=508160 - 523520, avg episodic return=0.77
timesteps=508160 - 523520, avg episodic return=2.85
timesteps=529664 - 534784, avg episodic return=3.24
timesteps=524544 - 534784, avg episodic return=3.60
timesteps=529664 - 539904, avg episodic return=3.30
timesteps=546048 - 556288, avg episodic return=3.60
timesteps=546048 - 556288, avg episodic return=0.60
timesteps=540928 - 556288, avg episodic return=3.35
timesteps=557312 - 562432, avg episodic return=3.85
timesteps=562432 - 567552, avg episodic return=2.10
timesteps=557312 - 572672, avg episodic return=3.96
timesteps=573696 - 573696, avg episodic return=3.10
timesteps=573696 - 578816, avg episodic return=1.60
timesteps=573696 - 578816, avg episodic return=4.10
timesteps=595200 - 600320, avg episodic return=3.60
timesteps=590080 - 605440, avg episodic return=3.70
timesteps=595200 - 600320, avg episodic return=3.10
timesteps=611584 - 611584, avg episodic return=4.10
timesteps=611584 - 621824, avg episodic return=3.43
timesteps=606464 - 621824, avg episodic return=3.50
timesteps=633088 - 638208, avg episodic return=3.10
timesteps=633088 - 638208, avg episodic return=2.77
timesteps=639232 - 654592, avg episodic return=3.85
timesteps=639232 - 654592, avg episodic return=3.98
timesteps=639232 - 644352, avg episodic return=3.10
timesteps=655616 - 670976, avg episodic return=2.90
timesteps=665856 - 670976, avg episodic return=1.77
timesteps=655616 - 670976, avg episodic return=2.90
timesteps=672000 - 682240, avg episodic return=2.10
timesteps=677120 - 682240, avg episodic return=3.60
timesteps=672000 - 682240, avg episodic return=3.60
timesteps=688384 - 703744, avg episodic return=3.32
timesteps=688384 - 688384, avg episodic return=2.10
timesteps=693504 - 703744, avg episodic return=3.35
timesteps=709888 - 715008, avg episodic return=2.10
timesteps=709888 - 720128, avg episodic return=3.60
timesteps=704768 - 720128, avg episodic return=3.43
timesteps=731392 - 731392, avg episodic return=3.10
timesteps=721152 - 731392, avg episodic return=3.50
timesteps=721152 - 736512, avg episodic return=2.85
timesteps=742656 - 752896, avg episodic return=3.35
timesteps=737536 - 742656, avg episodic return=3.77
timesteps=737536 - 752896, avg episodic return=3.30
timesteps=753920 - 769280, avg episodic return=3.10
timesteps=759040 - 769280, avg episodic return=3.10
timesteps=759040 - 769280, avg episodic return=3.60
timesteps=770304 - 785664, avg episodic return=3.50
timesteps=770304 - 770304, avg episodic return=4.10
timesteps=770304 - 785664, avg episodic return=3.85
timesteps=786688 - 796928, avg episodic return=3.96
timesteps=786688 - 802048, avg episodic return=3.60
timesteps=796928 - 796928, avg episodic return=4.10
timesteps=818432 - 818432, avg episodic return=2.60
timesteps=803072 - 818432, avg episodic return=3.30
timesteps=803072 - 813312, avg episodic return=3.10
timesteps=819456 - 834816, avg episodic return=3.10
timesteps=819456 - 829696, avg episodic return=2.60
timesteps=824576 - 834816, avg episodic return=3.70
timesteps=835840 - 851200, avg episodic return=3.50
timesteps=840960 - 846080, avg episodic return=3.77
timesteps=851200 - 851200, avg episodic return=4.10
