## SLURM PROLOG ###############################################################
##    Job ID : 8516927
##  Job Name : runs_craftax_transformer
##  Nodelist : gpu2107
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 03:49:02 PM EST 2025
###############################################################################
Loading Craftax textures from cache.
Textures successfully loaded from cache.
obs (27, 33, 3)
Network params number: 2631456
timesteps=15616 - 15616, avg episodic return=0.10
timesteps=10496 - 10496, avg episodic return=-0.90
timesteps=32000 - 32000, avg episodic return=0.10
timesteps=21760 - 21760, avg episodic return=0.10
timesteps=33024 - 48384, avg episodic return=0.43
timesteps=33024 - 48384, avg episodic return=0.60
timesteps=54528 - 64768, avg episodic return=0.90
timesteps=54528 - 54528, avg episodic return=1.10
timesteps=49408 - 64768, avg episodic return=2.10
timesteps=76032 - 81152, avg episodic return=0.10
timesteps=65792 - 81152, avg episodic return=0.85
timesteps=65792 - 81152, avg episodic return=2.10
timesteps=87296 - 97536, avg episodic return=2.39
timesteps=87296 - 97536, avg episodic return=-0.23
timesteps=82176 - 97536, avg episodic return=1.43
timesteps=98560 - 103680, avg episodic return=1.10
timesteps=98560 - 108800, avg episodic return=1.10
timesteps=108800 - 113920, avg episodic return=2.10
timesteps=120064 - 125184, avg episodic return=3.43
timesteps=125184 - 130304, avg episodic return=1.77
timesteps=125184 - 125184, avg episodic return=3.10
timesteps=136448 - 141568, avg episodic return=2.77
timesteps=141568 - 146688, avg episodic return=2.10
timesteps=141568 - 146688, avg episodic return=2.10
timesteps=147712 - 157952, avg episodic return=1.10
timesteps=147712 - 163072, avg episodic return=1.93
timesteps=152832 - 163072, avg episodic return=2.10
timesteps=179456 - 179456, avg episodic return=2.10
timesteps=164096 - 179456, avg episodic return=2.50
timesteps=164096 - 179456, avg episodic return=3.10
timesteps=185600 - 185600, avg episodic return=4.10
timesteps=180480 - 195840, avg episodic return=1.90
timesteps=185600 - 190720, avg episodic return=2.60
timesteps=201984 - 201984, avg episodic return=1.10
timesteps=196864 - 201984, avg episodic return=3.85
timesteps=196864 - 212224, avg episodic return=3.27
timesteps=228608 - 228608, avg episodic return=2.10
timesteps=213248 - 223488, avg episodic return=2.77
timesteps=213248 - 228608, avg episodic return=2.93
timesteps=229632 - 234752, avg episodic return=1.60
timesteps=229632 - 244992, avg episodic return=2.10
timesteps=234752 - 244992, avg episodic return=2.10
timesteps=246016 - 251136, avg episodic return=2.35
timesteps=246016 - 261376, avg episodic return=3.10
timesteps=246016 - 261376, avg episodic return=2.70
timesteps=262400 - 277760, avg episodic return=1.93
timesteps=272640 - 272640, avg episodic return=2.10
timesteps=262400 - 277760, avg episodic return=2.77
timesteps=278784 - 294144, avg episodic return=2.43
timesteps=278784 - 294144, avg episodic return=3.39
timesteps=295168 - 300288, avg episodic return=2.60
timesteps=295168 - 310528, avg episodic return=2.85
timesteps=300288 - 310528, avg episodic return=3.35
timesteps=311552 - 326912, avg episodic return=1.85
timesteps=321792 - 321792, avg episodic return=2.10
timesteps=311552 - 321792, avg episodic return=2.10
timesteps=327936 - 343296, avg episodic return=2.27
timesteps=327936 - 333056, avg episodic return=2.85
timesteps=327936 - 343296, avg episodic return=2.60
timesteps=344320 - 359680, avg episodic return=1.85
timesteps=344320 - 359680, avg episodic return=2.30
timesteps=344320 - 359680, avg episodic return=2.50
timesteps=360704 - 376064, avg episodic return=2.39
timesteps=360704 - 376064, avg episodic return=2.39
timesteps=360704 - 376064, avg episodic return=1.85
timesteps=377088 - 392448, avg episodic return=2.35
timesteps=377088 - 392448, avg episodic return=2.96
timesteps=377088 - 377088, avg episodic return=2.10
timesteps=408832 - 408832, avg episodic return=1.10
timesteps=403712 - 403712, avg episodic return=2.10
timesteps=393472 - 408832, avg episodic return=2.60
timesteps=409856 - 420096, avg episodic return=1.60
timesteps=409856 - 409856, avg episodic return=2.60
timesteps=409856 - 425216, avg episodic return=2.24
timesteps=426240 - 436480, avg episodic return=2.10
timesteps=431360 - 441600, avg episodic return=2.10
timesteps=426240 - 441600, avg episodic return=2.70
timesteps=442624 - 457984, avg episodic return=2.10
timesteps=447744 - 457984, avg episodic return=2.30
timesteps=442624 - 457984, avg episodic return=2.30
timesteps=459008 - 469248, avg episodic return=3.10
timesteps=469248 - 474368, avg episodic return=1.10
timesteps=459008 - 464128, avg episodic return=2.60
timesteps=475392 - 490752, avg episodic return=2.30
timesteps=475392 - 490752, avg episodic return=2.10
timesteps=485632 - 485632, avg episodic return=1.60
timesteps=502016 - 502016, avg episodic return=2.10
timesteps=491776 - 507136, avg episodic return=2.43
timesteps=502016 - 502016, avg episodic return=2.10
timesteps=508160 - 518400, avg episodic return=2.50
timesteps=508160 - 523520, avg episodic return=1.90
timesteps=508160 - 513280, avg episodic return=2.60
timesteps=524544 - 534784, avg episodic return=2.27
timesteps=524544 - 529664, avg episodic return=2.60
timesteps=524544 - 534784, avg episodic return=2.35
timesteps=540928 - 551168, avg episodic return=2.30
timesteps=540928 - 556288, avg episodic return=1.43
timesteps=540928 - 551168, avg episodic return=2.30
timesteps=557312 - 567552, avg episodic return=2.60
timesteps=562432 - 572672, avg episodic return=2.30
timesteps=567552 - 567552, avg episodic return=2.60
timesteps=578816 - 589056, avg episodic return=2.90
timesteps=583936 - 583936, avg episodic return=2.60
timesteps=573696 - 583936, avg episodic return=2.10
timesteps=600320 - 600320, avg episodic return=3.10
timesteps=590080 - 600320, avg episodic return=2.35
timesteps=590080 - 595200, avg episodic return=3.43
timesteps=611584 - 621824, avg episodic return=2.60
timesteps=616704 - 621824, avg episodic return=2.60
timesteps=633088 - 638208, avg episodic return=2.85
timesteps=633088 - 638208, avg episodic return=2.60
timesteps=622848 - 633088, avg episodic return=2.77
timesteps=649472 - 649472, avg episodic return=3.10
timesteps=639232 - 649472, avg episodic return=2.10
timesteps=639232 - 644352, avg episodic return=3.60
timesteps=660736 - 665856, avg episodic return=2.43
timesteps=655616 - 670976, avg episodic return=1.60
timesteps=660736 - 670976, avg episodic return=2.60
timesteps=672000 - 687360, avg episodic return=2.85
timesteps=672000 - 682240, avg episodic return=2.35
timesteps=672000 - 682240, avg episodic return=2.10
timesteps=688384 - 703744, avg episodic return=2.30
timesteps=698624 - 698624, avg episodic return=3.10
timesteps=693504 - 693504, avg episodic return=2.10
timesteps=704768 - 709888, avg episodic return=3.43
timesteps=704768 - 720128, avg episodic return=2.43
timesteps=704768 - 709888, avg episodic return=3.10
timesteps=721152 - 736512, avg episodic return=2.54
timesteps=726272 - 726272, avg episodic return=2.10
timesteps=721152 - 736512, avg episodic return=2.60
timesteps=737536 - 752896, avg episodic return=3.10
timesteps=737536 - 737536, avg episodic return=2.10
timesteps=737536 - 737536, avg episodic return=2.10
timesteps=769280 - 769280, avg episodic return=2.10
timesteps=753920 - 769280, avg episodic return=2.22
timesteps=753920 - 759040, avg episodic return=2.77
timesteps=770304 - 785664, avg episodic return=2.35
timesteps=770304 - 785664, avg episodic return=2.85
timesteps=770304 - 770304, avg episodic return=2.10
timesteps=791808 - 802048, avg episodic return=2.35
timesteps=786688 - 802048, avg episodic return=1.60
timesteps=786688 - 802048, avg episodic return=2.43
timesteps=803072 - 818432, avg episodic return=2.85
timesteps=803072 - 818432, avg episodic return=2.60
timesteps=803072 - 818432, avg episodic return=2.81
timesteps=829696 - 834816, avg episodic return=2.43
timesteps=819456 - 829696, avg episodic return=2.53
timesteps=829696 - 829696, avg episodic return=3.10
timesteps=835840 - 846080, avg episodic return=2.77
timesteps=840960 - 851200, avg episodic return=1.85
timesteps=840960 - 851200, avg episodic return=2.85
timesteps=862464 - 867584, avg episodic return=2.77
timesteps=852224 - 867584, avg episodic return=2.93
timesteps=857344 - 857344, avg episodic return=2.10
timesteps=878848 - 878848, avg episodic return=2.77
timesteps=868608 - 868608, avg episodic return=4.10
timesteps=868608 - 878848, avg episodic return=2.60
timesteps=884992 - 900352, avg episodic return=2.99
timesteps=884992 - 900352, avg episodic return=2.35
timesteps=884992 - 884992, avg episodic return=3.10
timesteps=901376 - 911616, avg episodic return=2.43
timesteps=901376 - 916736, avg episodic return=2.81
timesteps=901376 - 916736, avg episodic return=3.10
timesteps=922880 - 933120, avg episodic return=2.90
timesteps=917760 - 922880, avg episodic return=3.10
timesteps=928000 - 928000, avg episodic return=2.77
timesteps=934144 - 949504, avg episodic return=2.48
timesteps=944384 - 944384, avg episodic return=4.10
timesteps=944384 - 949504, avg episodic return=2.43
timesteps=955648 - 965888, avg episodic return=2.10
timesteps=955648 - 960768, avg episodic return=2.60
timesteps=955648 - 965888, avg episodic return=2.43
timesteps=977152 - 982272, avg episodic return=3.77
timesteps=966912 - 982272, avg episodic return=2.35
timesteps=972032 - 972032, avg episodic return=3.60
timesteps=988416 - 993536, avg episodic return=2.60
timesteps=988416 - 998656, avg episodic return=2.10
timesteps=983296 - 993536, avg episodic return=2.67
timesteps=1004800 - 1009920, avg episodic return=2.43
timesteps=1004800 - 1015040, avg episodic return=2.35
timesteps=999680 - 1015040, avg episodic return=2.60
timesteps=1021184 - 1021184, avg episodic return=4.10
timesteps=1021184 - 1026304, avg episodic return=2.60
timesteps=1032448 - 1047808, avg episodic return=3.10
timesteps=1032448 - 1047808, avg episodic return=2.43
timesteps=1037568 - 1037568, avg episodic return=2.60
timesteps=1059072 - 1064192, avg episodic return=2.77
timesteps=1048832 - 1064192, avg episodic return=2.70
timesteps=1059072 - 1064192, avg episodic return=3.43
timesteps=1065216 - 1075456, avg episodic return=3.10
timesteps=1070336 - 1080576, avg episodic return=2.77
timesteps=1065216 - 1070336, avg episodic return=2.10
timesteps=1081600 - 1096960, avg episodic return=3.77
timesteps=1081600 - 1091840, avg episodic return=2.43
timesteps=1086720 - 1091840, avg episodic return=2.10
timesteps=1097984 - 1113344, avg episodic return=4.43
timesteps=1103104 - 1108224, avg episodic return=3.10
timesteps=1097984 - 1113344, avg episodic return=2.10
timesteps=1119488 - 1124608, avg episodic return=2.10
timesteps=1114368 - 1124608, avg episodic return=3.90
timesteps=1119488 - 1129728, avg episodic return=3.10
timesteps=1130752 - 1146112, avg episodic return=3.10
timesteps=1140992 - 1140992, avg episodic return=3.10
timesteps=1130752 - 1146112, avg episodic return=2.10
timesteps=1147136 - 1152256, avg episodic return=2.77
timesteps=1152256 - 1157376, avg episodic return=3.10
timesteps=1147136 - 1157376, avg episodic return=2.60
timesteps=1163520 - 1178880, avg episodic return=2.90
timesteps=1178880 - 1178880, avg episodic return=3.10
timesteps=1163520 - 1173760, avg episodic return=2.60
timesteps=1179904 - 1195264, avg episodic return=3.10
timesteps=1179904 - 1195264, avg episodic return=2.85
timesteps=1179904 - 1195264, avg episodic return=3.60
timesteps=1196288 - 1211648, avg episodic return=3.85
timesteps=1196288 - 1211648, avg episodic return=2.77
timesteps=1212672 - 1228032, avg episodic return=2.77
timesteps=1212672 - 1228032, avg episodic return=3.10
timesteps=1217792 - 1228032, avg episodic return=3.10
timesteps=1229056 - 1244416, avg episodic return=2.60
timesteps=1234176 - 1244416, avg episodic return=2.85
timesteps=1229056 - 1239296, avg episodic return=2.10
timesteps=1250560 - 1260800, avg episodic return=2.30
timesteps=1245440 - 1260800, avg episodic return=3.24
timesteps=1261824 - 1277184, avg episodic return=3.10
timesteps=1261824 - 1272064, avg episodic return=4.43
timesteps=1272064 - 1277184, avg episodic return=2.10
timesteps=1283328 - 1293568, avg episodic return=2.60
timesteps=1283328 - 1293568, avg episodic return=2.90
timesteps=1278208 - 1293568, avg episodic return=2.43
timesteps=1294592 - 1309952, avg episodic return=2.60
timesteps=1309952 - 1309952, avg episodic return=3.10
timesteps=1294592 - 1309952, avg episodic return=3.10
timesteps=1316096 - 1326336, avg episodic return=1.60
timesteps=1321216 - 1326336, avg episodic return=2.77
timesteps=1310976 - 1326336, avg episodic return=2.60
timesteps=1327360 - 1342720, avg episodic return=2.70
timesteps=1337600 - 1337600, avg episodic return=2.10
timesteps=1327360 - 1327360, avg episodic return=2.77
timesteps=1353984 - 1359104, avg episodic return=2.77
timesteps=1343744 - 1359104, avg episodic return=2.90
timesteps=1348864 - 1359104, avg episodic return=3.77
timesteps=1360128 - 1375488, avg episodic return=3.60
timesteps=1360128 - 1375488, avg episodic return=3.10
timesteps=1365248 - 1375488, avg episodic return=2.90
timesteps=1381632 - 1391872, avg episodic return=2.70
timesteps=1376512 - 1391872, avg episodic return=3.35
timesteps=1376512 - 1391872, avg episodic return=3.77
timesteps=1398016 - 1398016, avg episodic return=1.60
timesteps=1398016 - 1408256, avg episodic return=2.93
timesteps=1392896 - 1398016, avg episodic return=3.35
timesteps=1409280 - 1419520, avg episodic return=3.27
timesteps=1414400 - 1414400, avg episodic return=2.10
timesteps=1414400 - 1424640, avg episodic return=3.50
timesteps=1430784 - 1441024, avg episodic return=2.83
timesteps=1430784 - 1441024, avg episodic return=2.43
timesteps=1425664 - 1430784, avg episodic return=4.60
timesteps=1447168 - 1457408, avg episodic return=2.35
timesteps=1447168 - 1457408, avg episodic return=3.60
timesteps=1452288 - 1452288, avg episodic return=3.10
timesteps=1458432 - 1473792, avg episodic return=1.67
timesteps=1468672 - 1473792, avg episodic return=2.35
timesteps=1463552 - 1473792, avg episodic return=2.77
timesteps=1474816 - 1485056, avg episodic return=2.10
timesteps=1474816 - 1474816, avg episodic return=2.10
timesteps=1479936 - 1490176, avg episodic return=3.35
timesteps=1491200 - 1501440, avg episodic return=2.10
timesteps=1496320 - 1501440, avg episodic return=2.77
timesteps=1491200 - 1501440, avg episodic return=2.10
timesteps=1507584 - 1512704, avg episodic return=3.10
timesteps=1507584 - 1517824, avg episodic return=2.50
timesteps=1512704 - 1522944, avg episodic return=3.10
timesteps=1529088 - 1529088, avg episodic return=2.10
timesteps=1523968 - 1539328, avg episodic return=2.35
timesteps=1523968 - 1539328, avg episodic return=3.60
timesteps=1545472 - 1555712, avg episodic return=2.10
timesteps=1540352 - 1555712, avg episodic return=2.77
timesteps=1555712 - 1555712, avg episodic return=3.10
timesteps=1556736 - 1572096, avg episodic return=2.60
timesteps=1566976 - 1572096, avg episodic return=2.60
timesteps=1556736 - 1572096, avg episodic return=2.60
timesteps=1573120 - 1578240, avg episodic return=2.43
timesteps=1573120 - 1588480, avg episodic return=3.35
timesteps=1573120 - 1583360, avg episodic return=3.43
timesteps=1589504 - 1604864, avg episodic return=1.96
timesteps=1589504 - 1594624, avg episodic return=2.10
timesteps=1589504 - 1599744, avg episodic return=4.10
timesteps=1605888 - 1621248, avg episodic return=2.53
timesteps=1605888 - 1616128, avg episodic return=2.85
timesteps=1605888 - 1611008, avg episodic return=2.10
timesteps=1622272 - 1637632, avg episodic return=2.10
timesteps=1622272 - 1627392, avg episodic return=3.43
timesteps=1622272 - 1637632, avg episodic return=3.60
timesteps=1638656 - 1654016, avg episodic return=2.81
timesteps=1643776 - 1654016, avg episodic return=3.60
timesteps=1638656 - 1654016, avg episodic return=2.10
timesteps=1660160 - 1665280, avg episodic return=1.60
timesteps=1660160 - 1670400, avg episodic return=3.77
timesteps=1655040 - 1665280, avg episodic return=2.85
timesteps=1671424 - 1681664, avg episodic return=2.35
timesteps=1671424 - 1686784, avg episodic return=2.35
timesteps=1671424 - 1686784, avg episodic return=3.10
timesteps=1687808 - 1698048, avg episodic return=2.77
timesteps=1698048 - 1698048, avg episodic return=3.10
