## SLURM PROLOG ###############################################################
##    Job ID : 8517521
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:09:34 PM EST 2025
###############################################################################
obs (65,)
Network params number: 2176517
timesteps=784 - 1680, avg episodic return=10.00
timesteps=3856 - 3856, avg episodic return=10.00
timesteps=4240 - 5264, avg episodic return=10.00
timesteps=5008 - 6032, avg episodic return=0.00
timesteps=7184 - 7952, avg episodic return=15.00
timesteps=6288 - 7824, avg episodic return=13.33
timesteps=6160 - 6160, avg episodic return=10.00
timesteps=8720 - 10000, avg episodic return=0.00
timesteps=8336 - 9488, avg episodic return=13.33
timesteps=10384 - 12176, avg episodic return=10.00
timesteps=10640 - 11920, avg episodic return=5.00
timesteps=12048 - 12048, avg episodic return=20.00
timesteps=12048 - 12048, avg episodic return=-10.00
timesteps=12560 - 12560, avg episodic return=10.00
timesteps=14224 - 14224, avg episodic return=-10.00
timesteps=12560 - 12944, avg episodic return=25.00
timesteps=12432 - 14224, avg episodic return=12.50
timesteps=12944 - 12944, avg episodic return=10.00
timesteps=14608 - 16272, avg episodic return=8.33
timesteps=14736 - 15120, avg episodic return=10.00
timesteps=15888 - 15888, avg episodic return=10.00
timesteps=15632 - 16016, avg episodic return=10.00
timesteps=16912 - 17040, avg episodic return=10.00
timesteps=17936 - 17936, avg episodic return=30.00
timesteps=17552 - 17552, avg episodic return=10.00
timesteps=16528 - 18320, avg episodic return=8.00
timesteps=18064 - 18064, avg episodic return=-10.00
timesteps=18576 - 20368, avg episodic return=10.00
timesteps=18704 - 20368, avg episodic return=10.00
timesteps=18448 - 18448, avg episodic return=10.00
timesteps=19216 - 20240, avg episodic return=10.00
timesteps=20496 - 20496, avg episodic return=10.00
timesteps=22160 - 22160, avg episodic return=20.00
timesteps=22800 - 23824, avg episodic return=6.67
timesteps=23056 - 23056, avg episodic return=10.00
timesteps=22544 - 22544, avg episodic return=10.00
timesteps=23696 - 23696, avg episodic return=10.00
timesteps=22800 - 23312, avg episodic return=10.00
