timesteps=308 - 308, avg discounted return=-0.05
timesteps=196 - 196, avg discounted return=-0.06
timesteps=900 - 948, avg discounted return=0.36
timesteps=1012 - 1012, avg discounted return=-0.01
timesteps=1428 - 1428, avg discounted return=-0.03
timesteps=1364 - 1364, avg discounted return=-0.00
timesteps=1156 - 1156, avg discounted return=-0.01
timesteps=1172 - 1172, avg discounted return=0.21
timesteps=1076 - 1156, avg discounted return=0.11
timesteps=1812 - 1812, avg discounted return=-0.06
timesteps=1572 - 1572, avg discounted return=1.72
timesteps=2036 - 2036, avg discounted return=-0.00
timesteps=1684 - 1684, avg discounted return=-0.03
timesteps=1572 - 1572, avg discounted return=-0.01
timesteps=2276 - 2276, avg discounted return=2.21
timesteps=2436 - 2436, avg discounted return=-0.01
timesteps=2500 - 2500, avg discounted return=-0.06
timesteps=2276 - 2548, avg discounted return=0.00
timesteps=2116 - 2372, avg discounted return=-0.00
timesteps=3060 - 3060, avg discounted return=0.87
timesteps=2596 - 2932, avg discounted return=0.38
timesteps=2692 - 3060, avg discounted return=-0.02
timesteps=3012 - 3012, avg discounted return=0.37
timesteps=3444 - 3444, avg discounted return=-0.02
timesteps=3556 - 3556, avg discounted return=0.27
timesteps=3876 - 4020, avg discounted return=0.52
timesteps=4084 - 4084, avg discounted return=-0.01
timesteps=4116 - 4500, avg discounted return=0.04
timesteps=4148 - 4148, avg discounted return=0.00
timesteps=4276 - 4548, avg discounted return=0.12
timesteps=4516 - 4516, avg discounted return=-0.01
timesteps=4532 - 4532, avg discounted return=1.08
timesteps=4900 - 4900, avg discounted return=-0.01
timesteps=4676 - 4676, avg discounted return=0.83
timesteps=4804 - 4804, avg discounted return=-0.05
timesteps=5508 - 5508, avg discounted return=-0.01
timesteps=5396 - 5396, avg discounted return=-0.04
timesteps=5188 - 5188, avg discounted return=-0.05
timesteps=5412 - 5412, avg discounted return=2.17
timesteps=5492 - 5492, avg discounted return=0.24
timesteps=6132 - 6132, avg discounted return=0.83
timesteps=5876 - 5876, avg discounted return=-0.01
timesteps=5924 - 5924, avg discounted return=-0.03
timesteps=5876 - 5876, avg discounted return=-0.00
timesteps=5748 - 5940, avg discounted return=1.00
timesteps=5636 - 6004, avg discounted return=1.35
timesteps=6420 - 6420, avg discounted return=-0.00
timesteps=6612 - 6612, avg discounted return=0.05
timesteps=6532 - 6580, avg discounted return=1.03
timesteps=6388 - 6500, avg discounted return=-0.02
timesteps=6212 - 6228, avg discounted return=0.96
timesteps=6244 - 6580, avg discounted return=1.27
timesteps=6772 - 7156, avg discounted return=-0.03
timesteps=7140 - 7140, avg discounted return=0.79
timesteps=7156 - 7156, avg discounted return=2.23
timesteps=6692 - 6692, avg discounted return=-0.06
timesteps=6836 - 6836, avg discounted return=2.44
timesteps=7188 - 7188, avg discounted return=0.14
timesteps=7508 - 7588, avg discounted return=-0.04
timesteps=7556 - 7556, avg discounted return=1.79
timesteps=7252 - 7652, avg discounted return=1.15
timesteps=7764 - 7764, avg discounted return=-0.01
timesteps=7924 - 8148, avg discounted return=1.84
timesteps=7684 - 8068, avg discounted return=0.98
timesteps=7700 - 7844, avg discounted return=0.74
timesteps=7876 - 7876, avg discounted return=-0.05
timesteps=7972 - 8100, avg discounted return=1.29
timesteps=7748 - 7844, avg discounted return=0.77
timesteps=8340 - 8692, avg discounted return=1.89
timesteps=8260 - 8308, avg discounted return=0.82
timesteps=8372 - 8372, avg discounted return=-0.05
timesteps=8260 - 8612, avg discounted return=-0.06
timesteps=8724 - 9188, avg discounted return=0.42
timesteps=8980 - 9172, avg discounted return=1.28
timesteps=8916 - 9156, avg discounted return=-0.05
timesteps=8836 - 9044, avg discounted return=1.15
timesteps=8820 - 9204, avg discounted return=0.21
timesteps=8740 - 8740, avg discounted return=2.00
timesteps=8996 - 8996, avg discounted return=1.22
timesteps=9524 - 9524, avg discounted return=-0.02
timesteps=9428 - 9716, avg discounted return=1.33
timesteps=9316 - 9428, avg discounted return=2.49
timesteps=9508 - 9508, avg discounted return=-0.06
timesteps=9428 - 9652, avg discounted return=0.46
timesteps=9268 - 9700, avg discounted return=1.20
timesteps=9684 - 9684, avg discounted return=2.79
timesteps=9396 - 9396, avg discounted return=0.00
timesteps=9732 - 9732, avg discounted return=-0.03
timesteps=9764 - 9844, avg discounted return=2.74
timesteps=9796 - 9908, avg discounted return=1.37
timesteps=9764 - 9780, avg discounted return=0.98
timesteps=9892 - 9892, avg discounted return=-0.03
timesteps=9860 - 10196, avg discounted return=1.99
timesteps=10308 - 10308, avg discounted return=1.83
timesteps=10276 - 10692, avg discounted return=2.11
timesteps=10452 - 10692, avg discounted return=1.46
timesteps=10436 - 10516, avg discounted return=-0.07
timesteps=10436 - 10580, avg discounted return=2.30
timesteps=10372 - 10500, avg discounted return=1.35
timesteps=10740 - 10740, avg discounted return=2.28
timesteps=10292 - 10404, avg discounted return=-0.07
timesteps=10820 - 11220, avg discounted return=0.56
timesteps=10980 - 11236, avg discounted return=0.94
timesteps=10772 - 10900, avg discounted return=1.29
timesteps=11092 - 11156, avg discounted return=1.91
timesteps=11092 - 11204, avg discounted return=3.13
timesteps=10916 - 10916, avg discounted return=-0.06
timesteps=11540 - 11716, avg discounted return=2.07
timesteps=11380 - 11732, avg discounted return=1.94
timesteps=11588 - 11684, avg discounted return=1.32
timesteps=11604 - 11604, avg discounted return=-0.08
