timesteps=404 - 404, avg discounted return=1.46
timesteps=100 - 276, avg discounted return=1.55
timesteps=820 - 820, avg discounted return=-0.01
timesteps=1124 - 1508, avg discounted return=0.84
timesteps=1028 - 1348, avg discounted return=-0.01
timesteps=1204 - 1204, avg discounted return=-0.03
timesteps=2020 - 2020, avg discounted return=-0.02
timesteps=1652 - 1668, avg discounted return=1.52
timesteps=2084 - 2084, avg discounted return=-0.01
timesteps=2372 - 2372, avg discounted return=-0.00
timesteps=2916 - 2916, avg discounted return=-0.01
timesteps=2804 - 2804, avg discounted return=0.37
timesteps=2772 - 2772, avg discounted return=-0.03
timesteps=2900 - 2900, avg discounted return=0.90
timesteps=2900 - 3060, avg discounted return=0.19
timesteps=3076 - 3076, avg discounted return=-0.01
timesteps=3396 - 3556, avg discounted return=2.02
timesteps=3124 - 3124, avg discounted return=-0.04
timesteps=3124 - 3124, avg discounted return=-0.01
timesteps=3124 - 3268, avg discounted return=0.54
timesteps=4036 - 4036, avg discounted return=-0.06
timesteps=3796 - 3796, avg discounted return=0.90
timesteps=3988 - 3988, avg discounted return=-0.01
timesteps=3828 - 3828, avg discounted return=0.20
timesteps=3956 - 3988, avg discounted return=-0.05
timesteps=3956 - 3988, avg discounted return=0.23
timesteps=4228 - 4420, avg discounted return=0.57
timesteps=4276 - 4276, avg discounted return=1.69
timesteps=4436 - 4436, avg discounted return=0.81
timesteps=4340 - 4500, avg discounted return=1.32
timesteps=4388 - 4388, avg discounted return=2.87
timesteps=4788 - 5092, avg discounted return=2.57
timesteps=4692 - 4964, avg discounted return=0.61
timesteps=4644 - 4644, avg discounted return=0.78
timesteps=4692 - 5012, avg discounted return=0.79
timesteps=4756 - 4948, avg discounted return=0.63
timesteps=4612 - 5092, avg discounted return=-0.05
timesteps=5364 - 5588, avg discounted return=1.70
timesteps=5268 - 5540, avg discounted return=2.63
timesteps=5300 - 5428, avg discounted return=0.56
timesteps=5444 - 5540, avg discounted return=0.65
timesteps=5124 - 5316, avg discounted return=1.18
timesteps=5236 - 5588, avg discounted return=1.49
timesteps=5668 - 6100, avg discounted return=2.28
timesteps=5940 - 6100, avg discounted return=1.29
timesteps=5988 - 5988, avg discounted return=0.00
timesteps=5780 - 5780, avg discounted return=-0.00
timesteps=6116 - 6116, avg discounted return=1.72
timesteps=5684 - 5684, avg discounted return=3.17
timesteps=6196 - 6612, avg discounted return=1.20
timesteps=6228 - 6628, avg discounted return=0.63
timesteps=6212 - 6612, avg discounted return=1.08
timesteps=6228 - 6436, avg discounted return=0.78
timesteps=6404 - 6580, avg discounted return=2.73
timesteps=6212 - 6628, avg discounted return=1.18
timesteps=6148 - 6468, avg discounted return=0.51
timesteps=6676 - 7108, avg discounted return=1.12
timesteps=6708 - 7092, avg discounted return=2.71
timesteps=6708 - 6724, avg discounted return=-0.04
timesteps=6692 - 6996, avg discounted return=-0.04
timesteps=6884 - 6884, avg discounted return=1.38
timesteps=6916 - 7140, avg discounted return=2.37
timesteps=6804 - 7108, avg discounted return=1.66
timesteps=6692 - 7124, avg discounted return=1.23
timesteps=7268 - 7364, avg discounted return=3.15
timesteps=7236 - 7604, avg discounted return=1.51
timesteps=7316 - 7316, avg discounted return=-0.03
timesteps=7556 - 7556, avg discounted return=2.17
timesteps=7252 - 7636, avg discounted return=2.59
timesteps=7412 - 7668, avg discounted return=2.02
timesteps=7284 - 7556, avg discounted return=1.99
timesteps=7892 - 8180, avg discounted return=1.16
timesteps=7764 - 8116, avg discounted return=1.26
timesteps=7844 - 8164, avg discounted return=1.73
timesteps=7748 - 7748, avg discounted return=-0.02
timesteps=8132 - 8132, avg discounted return=0.05
timesteps=7812 - 8148, avg discounted return=1.20
timesteps=7716 - 8180, avg discounted return=1.76
timesteps=7812 - 8004, avg discounted return=1.77
timesteps=7732 - 8100, avg discounted return=2.60
timesteps=8228 - 8692, avg discounted return=1.39
timesteps=8228 - 8660, avg discounted return=0.58
timesteps=8644 - 8644, avg discounted return=0.99
timesteps=8516 - 8516, avg discounted return=1.70
timesteps=8340 - 8644, avg discounted return=1.92
timesteps=8212 - 8612, avg discounted return=0.86
timesteps=8436 - 8436, avg discounted return=-0.07
timesteps=8484 - 8676, avg discounted return=-0.08
timesteps=8724 - 9204, avg discounted return=-0.08
timesteps=8724 - 9076, avg discounted return=2.49
timesteps=8804 - 8804, avg discounted return=-0.05
timesteps=8708 - 9156, avg discounted return=0.65
timesteps=8708 - 8708, avg discounted return=0.01
timesteps=8868 - 9044, avg discounted return=2.30
timesteps=8948 - 9140, avg discounted return=2.88
timesteps=8756 - 9156, avg discounted return=1.29
timesteps=9348 - 9636, avg discounted return=1.05
timesteps=9652 - 9700, avg discounted return=3.18
timesteps=9428 - 9428, avg discounted return=1.51
timesteps=9268 - 9412, avg discounted return=0.88
timesteps=9268 - 9684, avg discounted return=2.48
