Start Timestep,End Timestep,Average Episodic Return
400,400,4.051612
800,800,21.579136
1200,1200,40.59059
1600,2000,13.591615
2400,2400,10.403456
2800,2800,7.887142
3200,3200,25.764229
3600,4000,13.340984
4400,4400,1.6830423
4800,4800,16.751987
5200,5600,7.333868
6000,6000,17.562489
6400,6400,15.272971
6800,6800,15.052519
7200,7600,5.3684444
8000,8000,5.187848
8400,8400,3.236986
8800,9200,36.40523
9600,9600,6.36957
10000,10000,12.650404
10400,10400,13.660555
10800,11200,7.268414
11600,11600,14.288491
12000,12000,10.398223
12400,12800,6.8858614
13200,13200,27.100254
13600,13600,15.59277
14000,14000,18.178085
14400,14800,9.602734
15200,15200,28.658134
15600,15600,7.471953
16000,16000,25.571465
16400,16800,14.682456
17200,17200,7.9127145
17600,17600,16.804235
18000,18400,18.72968
18800,18800,4.9891243
19200,19200,17.672802
19600,19600,23.593555
20000,20400,15.470545
20800,20800,27.522217
21200,21200,19.6389
21600,22000,13.375925
22400,22400,31.139519
22800,22800,7.289068
23200,23200,30.362888
23600,24000,16.86306
24400,24400,12.707925
24800,24800,14.162507
25200,25600,17.735752
26000,26000,24.268688
26400,26400,20.177925
26800,26800,22.831413
27200,27600,7.467675
28000,28000,25.032001
28400,28400,8.933396
28800,28800,14.395855
29200,29600,18.33955
30000,30000,11.9454565
30400,30400,6.386545
30800,31200,13.690337
31600,31600,18.025385
32000,32000,10.755117
32400,32400,2.3184807
32800,33200,15.355228
33600,33600,17.482563
34000,34000,21.088686
34400,34800,13.553506
35200,35200,21.888136
35600,35600,19.683622
36000,36000,22.100052
36400,36800,10.397032
37200,37200,8.250953
37600,37600,9.541925
38000,38400,12.610268
38800,38800,11.063142
39200,39200,4.973878
39600,39600,16.93814
40000,40400,12.267152
40800,40800,8.004774
41200,41200,9.911324
41600,41600,19.509022
42000,42400,16.419851
42800,42800,21.876541
43200,43200,20.409912
43600,44000,7.3884177
44400,44400,16.287632
44800,44800,27.01294
45200,45200,7.824296
45600,46000,14.992083
46400,46400,14.531368
46800,46800,7.336972
47200,47600,11.99199
48000,48000,22.06215
48400,48400,7.149663
48800,48800,12.693993
49200,49600,15.859511
50000,50000,15.426786
50400,50400,1.698141
50800,51200,11.640641
51600,51600,17.652735
52000,52000,14.942342
52400,52400,8.340266
52800,53200,22.523182
53600,53600,12.41646
54000,54000,8.880768
54400,54400,15.97024
54800,55200,8.87625
55600,55600,11.378483
56000,56000,8.9225
56400,56800,14.265693
57200,57200,8.328051
57600,57600,2.7001648
58000,58000,28.241932
58400,58800,16.021002
59200,59200,17.68126
59600,59600,28.811958
60000,60400,8.406225
60800,60800,6.9839015
61200,61200,23.205917
61600,61600,11.271141
62000,62400,17.708462
62800,62800,16.833591
63200,63200,31.225092
63600,64000,5.2062464
64400,64400,30.50277
64800,64800,13.660313
65200,65200,16.346785
65600,66000,9.989506
66400,66400,19.187538
66800,66800,25.804152
67200,67200,8.2180395
67600,68000,19.12651
68400,68400,9.342279
68800,68800,2.8392978
69200,69600,22.133041
70000,70000,14.194334
70400,70400,21.907814
70800,70800,7.454634
71200,71600,17.888763
72000,72000,14.733925
72400,72400,13.120289
72800,73200,16.460686
73600,73600,9.233578
74000,74000,24.586784
74400,74400,13.694534
74800,75200,2.0998917
75600,75600,29.355812
76000,76000,26.302814
76400,76800,20.663757
77200,77200,19.329258
77600,77600,23.348455
78000,78000,25.77824
78400,78800,17.369741
79200,79200,21.507353
79600,79600,5.4558263
80000,80000,23.962654
80400,80800,28.065825
81200,81200,41.650955
81600,81600,16.49805
82000,82400,20.284851
82800,82800,32.63431
83200,83200,15.390099
83600,83600,19.391819
84000,84400,14.45356
84800,84800,10.416559
85200,85200,8.369278
85600,86000,12.178309
86400,86400,18.979942
86800,86800,8.127766
87200,87200,29.961256
87600,88000,13.807594
88400,88400,14.816116
88800,88800,7.9938545
89200,89600,16.323524
90000,90000,18.894089
90400,90400,11.660608
90800,90800,15.780534
91200,91600,28.177368
92000,92000,13.935337
92400,92400,9.244082
92800,92800,21.405128
93200,93600,19.497448
94000,94000,24.328627
94400,94400,17.583162
94800,95200,19.078732
95600,95600,13.263736
96000,96000,17.357864
96400,96400,16.75518
96800,97200,16.146002
97600,97600,27.342766
98000,98000,14.295779
98400,98800,24.925388
99200,99200,20.223234
99600,99600,29.425344
100000,100000,34.118168
100400,100800,21.738506
101200,101200,11.027176
101600,101600,8.179842
