Start Timestep,End Timestep,Average Episodic Return
400,400,4.069688
800,800,23.192575
1200,1200,39.48874
1600,2000,12.956315
2400,2400,9.887199
2800,2800,10.481434
3200,3200,24.28032
3600,4000,12.892866
4400,4400,3.6205068
4800,4800,24.652014
5200,5600,6.5949087
6000,6000,17.707693
6400,6400,19.414698
6800,6800,13.665738
7200,7600,10.862168
8000,8000,4.41863
8400,8400,7.449814
8800,9200,22.993427
9600,9600,1.6426483
10000,10000,19.398888
10400,10400,11.664349
10800,11200,7.724262
11600,11600,8.085141
12000,12000,5.0507636
12400,12800,14.815715
13200,13200,37.216087
13600,13600,10.946966
14000,14000,13.09356
14400,14800,14.131098
15200,15200,23.137753
15600,15600,18.126556
16000,16000,26.31129
16400,16800,13.303319
17200,17200,8.138798
17600,17600,18.210361
18000,18400,19.276371
18800,18800,5.120551
19200,19200,13.200834
19600,19600,26.888844
20000,20400,14.119116
20800,20800,20.208668
21200,21200,19.689892
21600,22000,11.98061
22400,22400,31.721165
22800,22800,10.437214
23200,23200,12.47502
23600,24000,25.443932
24400,24400,15.535203
24800,24800,4.8568544
25200,25600,21.054998
26000,26000,23.08337
26400,26400,10.1250305
26800,26800,29.140804
27200,27600,12.27797
28000,28000,16.845715
28400,28400,15.121877
28800,28800,8.497584
29200,29600,9.285482
30000,30000,12.954514
30400,30400,3.8079445
30800,31200,21.72411
31600,31600,11.218004
32000,32000,15.062039
32400,32400,9.967606
32800,33200,22.05636
33600,33600,15.941254
34000,34000,18.907326
34400,34800,12.916345
35200,35200,19.044453
35600,35600,10.38456
36000,36000,7.0273914
36400,36800,10.4964695
37200,37200,21.488285
37600,37600,14.213781
38000,38400,17.364021
38800,38800,10.913655
39200,39200,13.02648
39600,39600,12.799176
40000,40400,11.583273
40800,40800,18.448303
41200,41200,6.5076065
41600,41600,20.34107
42000,42400,27.086077
42800,42800,20.006765
43200,43200,15.420448
43600,44000,6.892563
44400,44400,19.128887
44800,44800,26.238556
45200,45200,16.801014
45600,46000,16.45194
46400,46400,23.113438
46800,46800,4.0298853
47200,47600,15.832757
48000,48000,15.450364
48400,48400,15.729478
48800,48800,21.205582
49200,49600,13.059381
50000,50000,15.91187
50400,50400,12.866032
50800,51200,9.800888
51600,51600,21.963255
52000,52000,16.817165
52400,52400,18.85351
52800,53200,23.991375
53600,53600,22.842146
54000,54000,12.380962
54400,54400,16.898775
54800,55200,6.74518
55600,55600,10.109148
56000,56000,21.520504
56400,56800,10.747527
57200,57200,19.566692
57600,57600,16.95161
58000,58000,25.982433
58400,58800,14.609501
59200,59200,26.691948
59600,59600,25.330116
60000,60400,12.85982
60800,60800,11.459366
61200,61200,19.935663
61600,61600,7.544158
62000,62400,29.894289
62800,62800,25.118406
63200,63200,24.806866
63600,64000,12.3408165
64400,64400,18.033367
64800,64800,13.233747
65200,65200,11.808174
65600,66000,18.588707
66400,66400,14.59778
66800,66800,26.994972
67200,67200,14.858054
67600,68000,25.976254
68400,68400,18.206646
68800,68800,10.8323555
69200,69600,22.679724
70000,70000,14.4339905
70400,70400,19.1307
70800,70800,24.059834
71200,71600,30.292534
72000,72000,25.864792
72400,72400,17.899446
72800,73200,24.061363
73600,73600,12.03326
74000,74000,27.475899
74400,74400,11.546407
74800,75200,11.462391
75600,75600,34.240604
76000,76000,20.758768
76400,76800,24.390724
77200,77200,18.273159
77600,77600,24.498886
78000,78000,32.370388
78400,78800,15.403545
79200,79200,17.586966
79600,79600,13.423823
80000,80000,7.8141603
80400,80800,20.13152
81200,81200,29.21629
81600,81600,17.660421
82000,82400,7.880334
82800,82800,34.15034
83200,83200,14.137974
83600,83600,32.489464
84000,84400,14.191685
84800,84800,5.511202
85200,85200,3.88796
85600,86000,11.223133
86400,86400,18.247042
86800,86800,9.761156
87200,87200,44.72744
87600,88000,16.335419
88400,88400,23.112427
88800,88800,8.804305
89200,89600,21.194878
90000,90000,22.273138
90400,90400,27.036804
90800,90800,21.900393
91200,91600,26.187107
92000,92000,19.55738
92400,92400,29.780224
92800,92800,25.726093
93200,93600,15.117213
94000,94000,23.17866
94400,94400,18.64267
94800,95200,14.515108
95600,95600,26.598904
96000,96000,24.169413
96400,96400,19.663326
96800,97200,17.934055
97600,97600,26.000835
98000,98000,14.183252
98400,98800,19.02808
99200,99200,29.366041
99600,99600,13.754673
100000,100000,16.245575
100400,100800,30.598938
101200,101200,10.964628
101600,101600,15.542603
102000,102400,26.47736
102800,102800,19.257662
103200,103200,22.465998
103600,103600,16.78098
104000,104400,41.569084
104800,104800,19.188534
